d28D_21436_7	---(d28D_21436_3 MGEs)------(d28D_21436_4)------(d28D_21436_5)------(d28D_21436_6 MGEs)------(d28D_21436_7 ARGs)------(d28D_21436_8 MGEs)------(d28D_21436_9)---
d28M_14093_1	---(d28M_14093_1 ARGs)------(d28M_14093_2)------(d28M_14093_3 MGEs)---
d28O_11622_2	---(d28O_11622_1)------(d28O_11622_2 ARGs)------(d28O_11622_3 MGEs)------(d28O_11622_4)------(d28O_11622_5)------(d28O_11622_6 MGEs)------(d28O_11622_7 MGEs)---
d35A_69561_2	---(d35A_69561_1)------(d35A_69561_2 ARGs)------(d35A_69561_3 MGEs)------(d35A_69561_4)------(d35A_69561_5)------(d35A_69561_6)---
d35B_1555_3	---(d35B_1555_1)------(d35B_1555_2 MGEs)------(d35B_1555_3 ARGs)------(d35B_1555_4)---
d35D_28472_2	---(d35D_28472_1)------(d35D_28472_2 ARGs)------(d35D_28472_3 MGEs)------(d35D_28472_4)---
d35L_28152_2	---(d35L_28152_1)------(d35L_28152_2 ARGs)------(d35L_28152_3 MGEs)------(d35L_28152_4)------(d35L_28152_5)------(d35L_28152_6 MGEs)------(d35L_28152_7)---
d42J_39204_4	---(d42J_39204_1 MGEs)------(d42J_39204_2)------(d42J_39204_3 MGEs)------(d42J_39204_4 ARGs)------(d42J_39204_5 MGEs)------(d42J_39204_6)---
d42L_11155_3	---(d42L_11155_1)------(d42L_11155_2 MGEs)------(d42L_11155_3 ARGs)------(d42L_11155_4 MGEs)------(d42L_11155_5)------(d42L_11155_6)------(d42L_11155_7 MGEs)------(d42L_11155_8)---
d5M_18333_3	---(d5M_18333_1)------(d5M_18333_2 MGEs)------(d5M_18333_3 ARGs)------(d5M_18333_4 MGEs)------(d5M_18333_5)------(d5M_18333_6)------(d5M_18333_7 MGEs)------(d5M_18333_8)---
d7E_27135_13	---(d7E_27135_7)------(d7E_27135_8 MGEs)------(d7E_27135_9 MGEs)------(d7E_27135_10)------(d7E_27135_11)------(d7E_27135_12 MGEs)------(d7E_27135_13 ARGs)------(d7E_27135_14)---
d7L_77026_1	---(d7L_77026_1 ARGs)------(d7L_77026_2)------(d7L_77026_3 MGEs)------(d7L_77026_4)---
d7M_41119_6	---(d7M_41119_1 MGEs)------(d7M_41119_2 MGEs)------(d7M_41119_3)------(d7M_41119_4)------(d7M_41119_5 MGEs)------(d7M_41119_6 ARGs)------(d7M_41119_7)------(d7M_41119_8 MGEs)---
d21J_122846_2	---(d21J_122846_1)------(d21J_122846_2 ARGs)------(d21J_122846_3)------(d21J_122846_4 MGEs)------(d21J_122846_5)---
d28K_27011_2	---(d28K_27011_1)------(d28K_27011_2 ARGs)------(d28K_27011_3 MGEs)------(d28K_27011_4)------(d28K_27011_5)------(d28K_27011_6)------(d28K_27011_7)------(d28K_27011_8)------(d28K_27011_9)------(d28K_27011_10)---
d14D_841_3	---(d14D_841_1 MGEs)------(d14D_841_2)------(d14D_841_3 ARGs)------(d14D_841_4)---
d14I_95248_3	---(d14I_95248_1 MGEs)------(d14I_95248_2)------(d14I_95248_3 ARGs)------(d14I_95248_4)------(d14I_95248_5 MGEs)------(d14I_95248_6)------(d14I_95248_7)------(d14I_95248_8 MGEs)---
d1I_54713_2	---(d1I_54713_1)------(d1I_54713_2 ARGs)------(d1I_54713_3)------(d1I_54713_4 MGEs)------(d1I_54713_5)------(d1I_54713_6 MGEs)---
d21J_75466_2	---(d21J_75466_1)------(d21J_75466_2 ARGs)------(d21J_75466_3)------(d21J_75466_4 MGEs)------(d21J_75466_5)------(d21J_75466_6)------(d21J_75466_7 MGEs)------(d21J_75466_8)---
d28E_6353_6	---(d28E_6353_1 MGEs)------(d28E_6353_2)------(d28E_6353_3)------(d28E_6353_4 MGEs)------(d28E_6353_5)------(d28E_6353_6 ARGs)------(d28E_6353_7)------(d28E_6353_8 MGEs)---
d28N_8648_8	---(d28N_8648_3)------(d28N_8648_4)------(d28N_8648_5)------(d28N_8648_6 MGEs)------(d28N_8648_7)------(d28N_8648_8 ARGs)------(d28N_8648_9)---
d35A_26237_3	---(d35A_26237_1 MGEs)------(d35A_26237_2)------(d35A_26237_3 ARGs)------(d35A_26237_4)---
